title,type,question,A,B,C,D,E,F,G,H,I,answer,image
Personal Protective Equipment,text,这是什么？,,,,,,,,,,"laminar flow cabinet,kabinet aliran laminar",laminarflowcabinet.jpg
,text,这是什么？,,,,,,,,,,"fume chamber,kebuk wasap",fumechamber.jpg
,radio,"Protect the eyes from hazardous chemical substances such as acid, bromine, ammonia and reactive metals / 
Melindungi mata daripada terkena bahan kimia berbahaya seperti asid, bromin, ammonia dan logam reaktif",Goggles / Gogal,Face mask / Topeng muka,Gloves / Sarung tangan,Lab coat / Baju makmal,Closed shoes/safety shoes  //  Kasut bertutup/kasut keselamatan,"Laminar flow cabinet / Kabinet aliran
laminar",Fume chamber / Kebuk wasap,Safety shower / Penyiram kecemasan,Eyewash station / Pembilas mata,A,
,radio,"Protects the nose and mouth from inhaling pungent and volatile chemical substances and dust / 
Melindungi hidung dan mulut daripada terhidu bahan kimia yang sengit dan mudah meruap serta debu",Goggles / Gogal,Face mask / Topeng muka,Gloves / Sarung tangan,Lab coat / Baju makmal,Closed shoes/safety shoes  //  Kasut bertutup/kasut keselamatan,"Laminar flow cabinet / Kabinet aliran
laminar",Fume chamber / Kebuk wasap,Safety shower / Penyiram kecemasan,Eyewash station / Pembilas mata,B,
,radio,"Protect the hands from hazardous chemical substances / 
Melindungi tangan daripada bahan kimia berbahaya",Goggles / Gogal,Face mask / Topeng muka,Gloves / Sarung tangan,Lab coat / Baju makmal,Closed shoes/safety shoes  //  Kasut bertutup/kasut keselamatan,"Laminar flow cabinet / Kabinet aliran
laminar",Fume chamber / Kebuk wasap,Safety shower / Penyiram kecemasan,Eyewash station / Pembilas mata,C,
,radio,"Made up of safety layers and is easily removed if there is an emergency, important to protect clothing from damage / 
terdiri daripada lapisan keselamatan dan mudah untuk dibuka sekiranya berlaku kecemasan, penting untuk melindungi kerosakan pada pakaian.",Goggles / Gogal,Face mask / Topeng muka,Gloves / Sarung tangan,Lab coat / Baju makmal,Closed shoes/safety shoes  //  Kasut bertutup/kasut keselamatan,"Laminar flow cabinet / Kabinet aliran
laminar",Fume chamber / Kebuk wasap,Safety shower / Penyiram kecemasan,Eyewash station / Pembilas mata,D,
,radio,"Protect the feet from chemical substance spills and glass splinters / 
Melindungi kaki daripada tumpahan bahan kimia dan serpihan kaca",Goggles / Gogal,Face mask / Topeng muka,Gloves / Sarung tangan,Lab coat / Baju makmal,Closed shoes/safety shoes  //  Kasut bertutup/kasut keselamatan,"Laminar flow cabinet / Kabinet aliran
laminar",Fume chamber / Kebuk wasap,Safety shower / Penyiram kecemasan,Eyewash station / Pembilas mata,E,
,radio,"Used to avoid contamination when microbiological activities are carried out / 
Untuk mengelakkan kontaminasi semasa aktiviti berkaitan dengan mikrobiologi dijalankan",Goggles / Gogal,Face mask / Topeng muka,Gloves / Sarung tangan,Lab coat / Baju makmal,Closed shoes/safety shoes  //  Kasut bertutup/kasut keselamatan,"Laminar flow cabinet / Kabinet aliran
laminar",Fume chamber / Kebuk wasap,Safety shower / Penyiram kecemasan,Eyewash station / Pembilas mata,F,
,radio,"Used to carry out experiments that use substances which are volatile, flammable, poisonous, corrosive or pungent / 
Untuk menjalankan eksperimen yang menggunakan bahan yang mudah meruap, mudah terbakar, beracun, mengakis dan berbau",Goggles / Gogal,Face mask / Topeng muka,Gloves / Sarung tangan,Lab coat / Baju makmal,Closed shoes/safety shoes  //  Kasut bertutup/kasut keselamatan,"Laminar flow cabinet / Kabinet aliran
laminar",Fume chamber / Kebuk wasap,Safety shower / Penyiram kecemasan,Eyewash station / Pembilas mata,G,
,radio,"Used to immediately clean and rinse parts of the body or clothing that have come into contact with chemical substances / 
Untuk membersihkan dan membilas bahagian badan atau pakaian yang terkena bahan kimia dengan segera",Goggles / Gogal,Face mask / Topeng muka,Gloves / Sarung tangan,Lab coat / Baju makmal,Closed shoes/safety shoes  //  Kasut bertutup/kasut keselamatan,"Laminar flow cabinet / Kabinet aliran
laminar",Fume chamber / Kebuk wasap,Safety shower / Penyiram kecemasan,Eyewash station / Pembilas mata,H,
,radio,"Used to immediately rinse and wash the eye that has come into contact with chemical substances / 
Untuk membilas dan mencuci mata yang terkena bahan kimia dengan segera",Goggles / Gogal,Face mask / Topeng muka,Gloves / Sarung tangan,Lab coat / Baju makmal,Closed shoes/safety shoes  //  Kasut bertutup/kasut keselamatan,"Laminar flow cabinet / Kabinet aliran
laminar",Fume chamber / Kebuk wasap,Safety shower / Penyiram kecemasan,Eyewash station / Pembilas mata,I,
